iso_code;continent;location;date;total_cases;new_cases;total_deaths;new_deaths;reproduction_rate
COL;South America;Colombia;21/10/2020;981700.0;7561.0;29464.0;192.0;1.08
COL;South America;Colombia;22/10/2020;990373.0;8673.0;29637.0;173.0;1.09
COL;South America;Colombia;23/10/2020;998942.0;8569.0;29802.0;165.0;1.09
COL;South America;Colombia;24/10/2020;1007711.0;8769.0;30000.0;198.0;1.11
COL;South America;Colombia;25/10/2020;1015885.0;8174.0;30154.0;154.0;1.12
COL;South America;Colombia;26/10/2020;1025052.0;9167.0;30348.0;194.0;1.14
COL;South America;Colombia;27/10/2020;1033218.0;8166.0;30565.0;217.0;1.14
COL;South America;Colombia;28/10/2020;1041935.0;8717.0;30753.0;188.0;1.13
COL;South America;Colombia;29/10/2020;1053122.0;11187.0;30926.0;173.0;1.14
COL;South America;Colombia;30/10/2020;1063151.0;10029.0;31135.0;209.0;1.12
COL;South America;Colombia;31/10/2020;1074184.0;11033.0;31314.0;179.0;1.11
COL;South America;Colombia;1/11/2020;1083321.0;9137.0;31515.0;201.0;1.08
COL;South America;Colombia;2/11/2020;1093256.0;9935.0;31653.0;138.0;1.05
COL;South America;Colombia;3/11/2020;1099392.0;6136.0;31847.0;194.0;0.99
COL;South America;Colombia;4/11/2020;1108086.0;8694.0;32013.0;166.0;0.98
COL;South America;Colombia;5/11/2020;1117977.0;9891.0;32209.0;196.0;0.97
COL;South America;Colombia;6/11/2020;1127733.0;9756.0;32405.0;196.0;0.96
COL;South America;Colombia;7/11/2020;1136447.0;8714.0;32595.0;190.0;0.93
COL;South America;Colombia;8/11/2020;1143887.0;7440.0;32791.0;196.0;0.91
COL;South America;Colombia;9/11/2020;1149064.0;5177.0;32974.0;183.0;0.9
COL;South America;Colombia;10/11/2020;1155356.0;6292.0;33128.0;154.0;0.93
COL;South America;Colombia;11/11/2020;1165326.0;9970.0;33312.0;184.0;0.97
COL;South America;Colombia;12/11/2020;1174012.0;8686.0;33491.0;179.0;0.96
COL;South America;Colombia;13/11/2020;1182697.0;8685.0;33669.0;178.0;0.96
COL;South America;Colombia;14/11/2020;1191634.0;8937.0;33829.0;160.0;0.95
COL;South America;Colombia;15/11/2020;1198746.0;7112.0;34031.0;202.0;0.93
COL;South America;Colombia;16/11/2020;1205217.0;6471.0;34223.0;192.0;0.92
COL;South America;Colombia;17/11/2020;1211128.0;5911.0;34381.0;158.0;0.9
COL;South America;Colombia;18/11/2020;1218003.0;6875.0;34563.0;182.0;0.9
COL;South America;Colombia;19/11/2020;1225490.0;7487.0;34761.0;198.0;0.92
COL;South America;Colombia;20/11/2020;1233444.0;7954.0;34929.0;168.0;0.94
COL;South America;Colombia;21/11/2020;1240493.0;7049.0;35104.0;175.0;0.97
COL;South America;Colombia;22/11/2020;1248417.0;7924.0;35287.0;183.0;1.01
COL;South America;Colombia;23/11/2020;1254979.0;6562.0;35479.0;192.0;1.04
COL;South America;Colombia;24/11/2020;1262494.0;7515.0;35677.0;198.0;1.06
COL;South America;Colombia;25/11/2020;1270991.0;8497.0;35860.0;183.0;1.08
COL;South America;Colombia;26/11/2020;1280487.0;9496.0;36019.0;159.0;1.1
COL;South America;Colombia;27/11/2020;1290510.0;10023.0;36214.0;195.0;1.11
COL;South America;Colombia;28/11/2020;1299613.0;9103.0;36401.0;187.0;1.1
COL;South America;Colombia;29/11/2020;1308376.0;8763.0;36584.0;183.0;1.1
COL;South America;Colombia;30/11/2020;1316806.0;8430.0;36766.0;182.0;1.09
COL;South America;Colombia;1/12/2020;1324792.0;7986.0;36934.0;168.0;1.06
COL;South America;Colombia;2/12/2020;1334089.0;9297.0;37117.0;183.0;1.04
COL;South America;Colombia;3/12/2020;1343322.0;9233.0;37305.0;188.0;1.03
COL;South America;Colombia;4/12/2020;1352607.0;9285.0;37467.0;162.0;1.02
COL;South America;Colombia;5/12/2020;1362249.0;9642.0;37633.0;166.0;1.02
COL;South America;Colombia;6/12/2020;1371103.0;8854.0;37808.0;175.0;1.0
COL;South America;Colombia;7/12/2020;1377100.0;5997.0;37995.0;187.0;0.96
COL;South America;Colombia;8/12/2020;1384610.0;7510.0;38158.0;163.0;0.95
COL;South America;Colombia;9/12/2020;1392133.0;7523.0;38308.0;150.0;0.94
COL;South America;Colombia;10/12/2020;1399911.0;7778.0;38484.0;176.0;0.96
COL;South America;Colombia;11/12/2020;1408909.0;8998.0;38669.0;185.0;1.0
COL;South America;Colombia;12/12/2020;1417072.0;8163.0;38866.0;197.0;1.05
COL;South America;Colombia;13/12/2020;1425774.0;8702.0;39053.0;187.0;1.11
COL;South America;Colombia;14/12/2020;1434516.0;8742.0;39195.0;142.0;1.16
COL;South America;Colombia;15/12/2020;1444646.0;10130.0;39356.0;161.0;1.2
COL;South America;Colombia;16/12/2020;1456599.0;11953.0;39560.0;204.0;1.23
COL;South America;Colombia;17/12/2020;1468795.0;12196.0;39787.0;227.0;1.24
COL;South America;Colombia;18/12/2020;1482072.0;13277.0;40019.0;232.0;1.25
COL;South America;Colombia;19/12/2020;1496062.0;13990.0;40268.0;249.0;1.25
COL;South America;Colombia;20/12/2020;1507222.0;11160.0;40475.0;207.0;1.22
COL;South America;Colombia;21/12/2020;1518067.0;10845.0;40680.0;205.0;1.2
COL;South America;Colombia;22/12/2020;1530593.0;12526.0;40931.0;251.0;1.18
COL;South America;Colombia;23/12/2020;1544826.0;14233.0;41174.0;243.0;1.16
